FeatureID,FeatureName,WTY_ClusterD Average,WTY_ClusterD Log2 Fold Change,WTY_ClusterD P-Value,WTY_ClusterCp Average,WTY_ClusterCp Log2 Fold Change,WTY_ClusterCp P-Value,WTY_ClusterC Average,WTY_ClusterC Log2 Fold Change,WTY_ClusterC P-Value,WTY_ClusterB Average,WTY_ClusterB Log2 Fold Change,WTY_ClusterB P-Value,WTY_ClusterA Average,WTY_ClusterA Log2 Fold Change,WTY_ClusterA P-Value
ENSMUSG00000090019,Gimap1,0.505084567,0.001690627,1,0.341468709,-0.691132893,0.03574752,1.736171646,2.213654326,2.35E-13,0.27085611,-1.106841449,0.000172679,0.202357845,-1.381681847,0.03038195
ENSMUSG00000030057,Cnbp,2.360039325,0.038523802,1,2.88011421,0.415668739,0.210034294,1.971182534,-0.258189192,0.964007714,1.957313195,-0.319440065,0.498976641,2.129156456,-0.133954832,1
ENSMUSG00000004266,Ptpn6,0.568246109,-0.056605872,1,0.543455017,-0.128809874,0.950041343,0.349071548,-0.798070199,0.235936267,0.364435152,-0.849216806,0.005726696,1.80362427,1.897415884,4.85E-08
ENSMUSG00000060032,H2afj,0.968199952,-0.047593,1,1.157309171,0.298557392,0.454989982,0.645323059,-0.667873183,0.368276464,0.806465348,-0.381914586,0.360569685,1.642324539,0.810321085,0.096573516
ENSMUSG00000074129,Rpl13a,1.540601426,-0.010772337,1,1.734976853,0.215250987,0.662595964,1.641248681,0.093207748,1,1.372589491,-0.227822661,0.7245124,1.498621142,-0.050965212,1
ENSMUSG00000073982,Rhog,0.754198675,0.022470006,1,0.578325618,-0.458815025,0.209247817,0.842058558,0.193286295,0.986062919,0.707945797,-0.101781648,1,1.220012515,0.784270789,0.115427514
ENSMUSG00000090862,Rps13,11.7251923,-0.029431171,1,13.8656692,0.293513886,0.461218244,13.46375084,0.200065521,0.967412272,9.689499516,-0.381615379,0.354748587,12.06424234,0.022726655,1
ENSMUSG00000035064,Eef2k,0.494903924,-0.021495075,1,0.355285362,-0.606524051,0.072826915,1.235529557,1.550461901,3.37E-06,0.420233835,-0.325088956,0.496052097,0.279586201,-0.885063505,0.26791283
ENSMUSG00000004207,Psap,4.294361547,-0.068600124,1,1.366532773,-1.957974579,1.26E-10,3.555018132,-0.34784944,0.805539883,2.262752864,-1.189857021,3.93E-05,22.57120909,2.931222317,1.34E-22
ENSMUSG00000020077,Srgn,2.805078874,0.054266897,1,2.509367355,-0.160192162,0.863708293,3.449378058,0.372814965,0.624357518,2.822483408,0.058782077,1,1.909202276,-0.555776735,0.555178572
ENSMUSG00000035781,R3hdm4,0.617279412,0.046508003,1,0.36350956,-0.889764824,0.004610907,0.584082436,-0.054377551,1,0.470220156,-0.466841856,0.212585485,1.740081952,1.762949557,6.39E-07
ENSMUSG00000031590,Frg1,0.870548884,0.023255445,1,0.692477489,-0.394086966,0.31286909,1.169695888,0.49672893,0.388949924,1.024138337,0.344424685,0.383231736,0.381253911,-1.237776157,0.055950473
ENSMUSG00000036199,Ndufa13,1.245362771,-0.039624243,1,1.258960261,-0.013014256,1,1.322031937,0.066775991,1,1.222921147,-0.069160906,1,1.481024807,0.243698256,0.940994509
ENSMUSG00000090137,Uba52,2.160581824,-0.002438993,1,2.301459625,0.116201036,0.932774559,2.295757833,0.094891214,1,2.084313324,-0.071120578,1,1.856413273,-0.237521468,1
ENSMUSG00000045128,Rpl18a,15.57783859,-7.49E-05,1,17.03659106,0.168202394,0.788654383,17.58371371,0.193689493,0.980215726,13.89212849,-0.21725616,0.747939306,14.34687794,-0.129151713,1
ENSMUSG00000031807,Pgls,4.215617388,0.054064533,1,3.557788142,-0.26526232,0.582620279,3.812228746,-0.122256211,1,4.397343126,0.129295142,0.951421685,4.736346661,0.219593041,0.982038205
ENSMUSG00000005161,Prdx2,1.191758568,-0.01676748,1,1.318832424,0.176555864,0.764700082,2.005630384,0.845963743,0.042936363,0.923875078,-0.486365325,0.181696552,0.795745342,-0.632157266,0.552313154
ENSMUSG00000041203,Trir,0.970485403,-0.060300996,1,0.879331272,-0.229715814,0.682288851,1.022718395,0.04022334,1,1.213621366,0.393005489,0.277140827,0.713629115,-0.515189352,0.733134837
ENSMUSG00000021807,Rtraf,1.225417021,-0.021386848,1,1.26224994,0.037200742,1,1.511112358,0.322407619,0.725544286,1.076158985,-0.263349515,0.629321549,1.41063947,0.205344432,1
ENSMUSG00000021771,Vdac2,0.967992184,0.025607227,1,1.014866058,0.109999382,0.951756137,0.895644103,-0.105212366,1,0.903531808,-0.109847468,1,0.991260168,0.0549842,1
ENSMUSG00000022216,Psme1,1.295019378,-0.028061803,1,1.326069718,0.020533389,1,1.451402752,0.162388421,1,0.856451668,-0.774552731,0.012022751,2.697127026,1.168776965,0.004240287
ENSMUSG00000022108,Itm2b,2.828764452,0.026403146,1,1.603389681,-0.968750835,0.001652215,4.256988766,0.688266793,0.137194854,2.0599014,-0.563541639,0.096914293,6.789252335,1.456881183,9.72E-05
