FeatureID,FeatureName,WTY_ClusterD Average,WTY_ClusterD Log2 Fold Change,WTY_ClusterD P-Value,WTY_ClusterCp Average,WTY_ClusterCp Log2 Fold Change,WTY_ClusterCp P-Value,WTY_ClusterC Average,WTY_ClusterC Log2 Fold Change,WTY_ClusterC P-Value,WTY_ClusterB Average,WTY_ClusterB Log2 Fold Change,WTY_ClusterB P-Value,WTY_ClusterA Average,WTY_ClusterA Log2 Fold Change,WTY_ClusterA P-Value
ENSMUSG00000091625,Lsm5,0.369411913,-1.313196165,6.75E-08,0.934926852,0.493897964,0.117711643,0.39653303,-0.935262727,0.121883924,1.264479542,1.222419475,5.97E-07,0.370500595,-1.020987282,0.152035658
ENSMUSG00000019087,Atp6ap1,1.049645098,1.197699888,6.83E-08,0.338836966,-1.166268376,0.000134746,0.385815921,-0.85057087,0.183484494,0.582108141,-0.256184233,0.653005438,0.48292162,-0.49580822,0.766803789
ENSMUSG00000043263,Ifi209,1.59877653,1.19299961,7.23E-08,0.394432546,-1.599436419,1.20E-07,0.835934496,-0.309663723,0.873599095,1.020941537,0.00741777,1,0.34801639,-1.619542041,0.00729644
ENSMUSG00000037966,Ninj1,0.166630121,-1.353285668,7.41E-08,0.325020313,-0.052084711,1,1.399348222,2.658734165,1.04E-19,0.229297715,-0.688988031,0.042996,0.145658545,-1.255740337,0.062556612
ENSMUSG00000038587,Akap12,1.127558185,1.193451964,8.69E-08,0.379628989,-1.099900068,0.00035596,0.762445749,0.098317769,1,0.630350753,-0.243797607,0.691437401,0.023461779,-4.985536858,8.88E-14
ENSMUSG00000030798,Cd37,5.606625688,1.171623853,1.08E-07,1.794520048,-1.194247071,7.90E-05,5.22841814,0.613051193,0.22017525,2.214219634,-0.87311302,0.003605669,1.975677317,-0.914075895,0.161092816
ENSMUSG00000022314,Rad21,0.466231908,-1.291213858,1.16E-07,0.744783389,-0.348208657,0.409270629,0.446291036,-1.090439568,0.054919352,1.9878281,1.890192654,1.12E-16,0.35974728,-1.393721775,0.026619557
ENSMUSG00000030793,Pycard,1.334287573,1.174850236,1.26E-07,0.386866283,-1.351338064,8.52E-06,0.4723183,-0.919274382,0.133124386,0.610007483,-0.617200511,0.062485134,1.284532407,0.649740365,0.252293519
ENSMUSG00000036908,Unc93b1,4.720701955,1.163559858,1.36E-07,0.960915318,-1.915369908,2.34E-10,3.104899557,0.038071076,1,2.033455149,-0.727844886,0.019639833,4.487065258,0.622607006,0.282193586
ENSMUSG00000071866,Ppia,9.819749858,-1.266505037,1.42E-07,27.91950805,0.792905376,0.003747353,9.682142406,-1.026199761,0.05086539,26.09198752,0.68171669,0.01478101,20.34722795,0.127069485,1
ENSMUSG00000022010,Tsc22d1,0.123414329,-1.333263561,1.80E-07,0.113493935,-1.313355572,5.43E-05,0.489924979,1.162557399,0.001603304,0.089510388,-1.728752675,1.30E-08,1.417482489,3.241538236,9.79E-27
ENSMUSG00000000378,Ccm2,1.068967544,1.158947709,1.93E-07,0.340152838,-1.209119761,7.29E-05,0.623123333,-0.154832225,1,0.619016645,-0.198177183,0.808290168,0.233640217,-1.627210654,0.007220008
ENSMUSG00000025364,Pa2g4,0.617694948,-1.261296788,2.02E-07,2.381398831,1.520832927,4.32E-10,0.570303296,-1.119895899,0.044465357,1.257214088,0.130433539,0.951615802,0.720472134,-0.750908055,0.396078057
ENSMUSG00000036622,Atp13a2,1.255543414,1.152572522,2.25E-07,0.352982587,-1.411729674,3.14E-06,0.601689115,-0.46467023,0.691870051,0.516428441,-0.81306339,0.008034418,1.30897176,0.768575435,0.127942352
ENSMUSG00000000682,Cd52,2.79614484,1.147469781,2.77E-07,1.288567374,-0.599328016,0.075548918,1.570821965,-0.219734136,1,0.707364561,-1.620035796,1.41E-08,2.655091338,0.613010563,0.291559978
ENSMUSG00000052160,Pld4,0.189484626,-1.317574384,3.00E-07,0.050661061,-3.189804855,1.18E-19,0.05511656,-2.86327831,1.84E-07,0.063064137,-2.913669899,1.25E-19,3.637553339,5.078070358,1.14E-77
ENSMUSG00000026385,Dbi,0.376060496,-1.245870957,3.18E-07,1.069474734,0.818146724,0.002952637,0.750197625,0.088854341,1,0.839886434,0.334956939,0.410985874,0.722427282,0.027963406,1
ENSMUSG00000029438,Bcl7a,2.759993168,1.133505125,3.34E-07,0.905319738,-1.173563557,0.000112,1.998740814,0.177864956,1,1.627170984,-0.179889811,0.844485614,0.117308896,-4.025305919,5.33E-11
ENSMUSG00000110386,Gm42031,4.261949703,1.132054806,3.56E-07,1.322122103,-1.264874097,3.02E-05,0.720342821,-2.047975635,1.55E-05,3.048293705,0.19268319,0.772792064,1.643302113,-0.796914282,0.265713032
ENSMUSG00000024014,Pim1,1.533952843,1.133293364,4.03E-07,0.529638364,-1.089656519,0.000389017,0.767804304,-0.406769732,0.70307867,0.92968744,-0.12790346,0.975899469,0.340195797,-1.619380355,0.007617581
ENSMUSG00000020267,Hint1,0.925399697,-1.222267937,4.35E-07,2.980778396,1.129523171,9.81E-06,1.278397993,-0.470022344,0.589573684,1.990443664,0.285360855,0.531774095,1.41063947,-0.310304768,0.9532603
ENSMUSG00000026547,Tagln2,0.997287504,-1.22651841,4.51E-07,1.996835323,0.131396127,0.898640891,0.88645801,-1.148241533,0.024854479,2.031130204,0.170663522,0.824221541,6.201730283,2.037676015,1.46E-09
ENSMUSG00000022471,Xrcc6,2.923506765,1.120117427,4.71E-07,0.713202468,-1.653554276,4.02E-08,3.649941097,1.087016091,0.003568019,1.353699312,-0.625298699,0.05623801,0.248303829,-3.031867933,2.37E-07
ENSMUSG00000036781,Rps27l,0.506954481,-1.221201807,5.04E-07,1.660959069,1.170907882,4.35E-06,0.738715008,-0.385651563,0.738457836,0.988392305,0.090192058,1,0.97757413,0.055246008,1
ENSMUSG00000060550,H2-Q7,1.150620458,1.116097456,6.29E-07,0.263174342,-1.755694183,1.47E-08,0.746370086,-0.006888314,1,0.656215768,-0.251653953,0.666106904,0.628580166,-0.272338322,1
ENSMUSG00000041515,Irf8,1.022842997,-1.237233236,6.37E-07,0.724387378,-1.644115171,1.13E-07,0.877271916,-1.211265983,0.019746406,0.599835848,-1.980232368,1.28E-11,15.47793121,4.236697263,1.40E-53
ENSMUSG00000043008,Klhl6,2.092849381,1.105829989,6.93E-07,0.691161617,-1.176644669,0.000107679,1.833391134,0.474755554,0.429297685,1.066859204,-0.462453507,0.214941,0.390052078,-1.889691531,0.001295908
ENSMUSG00000015837,Sqstm1,1.51192941,1.104726015,7.29E-07,0.418118237,-1.462317808,1.25E-06,1.601442276,0.793321924,0.065814446,0.578911341,-0.961096976,0.001189121,0.819207121,-0.291033179,1
ENSMUSG00000026126,Ptpn18,0.676285589,-1.202421476,7.45E-07,1.513252469,0.372683258,0.289270642,2.920412182,1.450682986,1.72E-05,0.966595945,-0.470980771,0.205620106,1.927776185,0.69513841,0.196518845
ENSMUSG00000033307,Mif,0.891949012,-1.204576072,7.90E-07,4.283491391,2.271915157,9.92E-23,0.725701376,-1.262912233,0.01184542,0.976476962,-0.937639215,0.001778859,0.765440544,-1.164219752,0.081135871
ENSMUSG00000001918,Slc1a5,3.976268387,1.095666924,8.51E-07,1.432655327,-1.039874659,0.000675068,1.206440262,-1.192233003,0.017719351,2.91141256,0.216505443,0.708828559,0.431110191,-2.689438056,3.48E-06
ENSMUSG00000020358,Hnrnpab,0.569908255,-1.183005698,1.17E-06,1.657998357,0.946285259,0.000363761,0.409546662,-1.43034477,0.00591649,1.489708603,0.749873839,0.006353579,0.685279465,-0.638105433,0.544973449
ENSMUSG00000030724,Cd19,2.659641113,1.083595039,1.19E-06,1.040196588,-0.910524024,0.003378996,2.437376773,0.537668999,0.331074218,1.348177567,-0.485375118,0.182432795,0.068430189,-4.76678911,8.08E-14
ENSMUSG00000040699,Limd2,4.153702455,1.083031641,1.21E-06,1.992887708,-0.5653253,0.096235197,2.849219958,0.064577281,1,1.891052259,-0.675789166,0.03443379,0.962910518,-1.580093518,0.004545658
ENSMUSG00000052684,Jun,4.695354231,1.081430914,1.36E-06,1.178363118,-1.628621988,6.97E-08,4.945180261,0.770522665,0.079119066,1.852109427,-0.923713812,0.002000796,3.060784602,-0.017523301,1
ENSMUSG00000029322,Plac8,1.232065604,-1.177144094,1.61E-06,2.603123215,0.287848892,0.47377981,2.020175032,-0.162394246,1,1.383342362,-0.868499447,0.004536858,9.026919519,2.419545825,5.11E-14
ENSMUSG00000024844,Banf1,0.917296736,-1.157852003,1.81E-06,2.204414086,0.566887738,0.058235793,0.78617649,-1.145129525,0.024500276,2.726288802,1.086815421,1.25E-05,0.903278496,-0.91906658,0.159980587
ENSMUSG00000039168,Dap,0.370658522,-1.169568531,1.83E-06,0.729650864,0.15957318,0.827182783,0.635371458,-0.084660831,1,0.632966316,-0.109497943,1,2.074412305,1.897833618,4.56E-08
ENSMUSG00000066979,Bub3,0.579673362,-1.161537318,1.92E-06,0.720439762,-0.65722267,0.046705503,0.613171732,-0.828157062,0.201758519,2.30402064,1.899194665,6.40E-17,0.495630084,-1.132906783,0.092918168
ENSMUSG00000018819,Lsp1,2.637617681,1.064181049,2.01E-06,0.410880942,-2.374310353,1.22E-14,1.240888112,-0.537817398,0.482306486,0.596057812,-1.841490631,8.98E-11,6.052161441,2.112858589,1.87E-10
ENSMUSG00000032053,Pou2af1,3.310163441,1.058646455,2.15E-06,1.353045088,-0.850426662,0.0065805,1.689475671,-0.414323898,0.683207387,2.202013672,0.004177874,1,0.099712561,-4.556626349,4.02E-13
ENSMUSG00000031557,Plekha2,2.255116369,1.059564216,2.17E-06,0.822090852,-1.039518676,0.000688162,1.244715651,-0.291322187,0.907738562,1.484477476,-0.015456481,1,0.291317091,-2.448695158,2.39E-05
ENSMUSG00000031812,Map1lc3b,2.029687839,1.057587837,2.27E-06,0.708925885,-1.110617174,0.000264049,1.554746302,0.22958735,0.913170528,0.966305327,-0.611578419,0.06382979,1.054802487,-0.378734006,0.845081438
ENSMUSG00000021451,Sema4d,0.146061066,-1.186674391,2.48E-06,0.250673561,-0.113912336,1,0.346775024,0.426428531,0.476553124,0.187739321,-0.643421492,0.064265326,1.046981894,2.362695561,8.59E-13
ENSMUSG00000037649,H2-DMa,0.128192998,-1.199111924,2.84E-06,0.097703475,-1.491708387,4.05E-06,0.165349681,-0.552181951,0.578810553,0.137171764,-0.970430107,0.002313544,1.574871924,3.6294268,3.80E-35
ENSMUSG00000021892,Sh3bp5,0.185329261,-1.173659989,3.14E-06,0.393116674,0.298880585,0.47377981,1.210267801,2.313800701,2.60E-14,0.259231384,-0.480828961,0.227812103,0.017596334,-4.28585746,1.26E-10
ENSMUSG00000018446,C1qbp,0.3322214,-1.143638461,3.36E-06,1.442524364,2.051025514,3.03E-18,0.337588931,-0.873135084,0.16555194,0.29265247,-1.243694807,2.01E-05,0.621737147,0.076770151,1
ENSMUSG00000031770,Herpud1,2.453742797,1.03562737,3.98E-06,0.933282012,-0.98246597,0.001439458,0.880333947,-0.967393259,0.071925302,1.575731573,-0.077788146,1,1.109546638,-0.602040435,0.486048786
ENSMUSG00000028851,Nudc,0.377307106,-1.12913516,4.04E-06,1.119148891,1.05827845,5.06E-05,0.372802289,-0.9038353,0.1413595,0.830586654,0.440701762,0.200372242,0.514203993,-0.401060447,0.916766406
ENSMUSG00000040128,Pnrc1,1.383736412,1.035389481,4.26E-06,0.395748417,-1.444366386,1.76E-06,1.397817207,0.674975209,0.153640989,0.642847333,-0.667066808,0.038265692,0.690167336,-0.452000516,0.840314342
ENSMUSG00000030157,Clec2d,1.166203075,1.039444883,4.27E-06,0.388840091,-1.195414933,9.24E-05,0.577958374,-0.468639002,0.687431012,0.565252289,-0.590134619,0.080578978,1.090972729,0.533658732,0.416057003
ENSMUSG00000055805,Fmnl1,1.386229631,1.027353227,5.08E-06,0.438843216,-1.28584345,2.23E-05,0.45164959,-1.116550281,0.046138657,0.87185443,-0.122290761,0.987984146,1.043071597,0.180581387,1
ENSMUSG00000032946,Rasgrp2,0.538119716,-1.11816742,5.10E-06,1.003352181,0.110896589,0.951346415,2.765014103,1.876368173,2.54E-09,0.782925278,-0.353910498,0.428869382,0.91598696,-0.049567176,1
ENSMUSG00000034165,Ccnd3,2.331159541,-1.105691847,5.65E-06,7.016885905,1.123122732,1.18E-05,1.6726345,-1.36987698,0.005320092,5.549353447,0.637313203,0.026965352,1.550432571,-1.462713711,0.009695206
ENSMUSG00000000278,Scpep1,0.380215861,1.045135505,6.07E-06,0.062832874,-2.287628007,2.82E-12,0.065833669,-2.038681442,0.000100324,0.050567557,-2.663382613,1.07E-17,1.145716881,2.661253703,4.51E-17
ENSMUSG00000025017,Pik3ap1,1.638252494,1.011994077,7.45E-06,0.49213602,-1.37832801,5.22E-06,1.417720409,0.404541707,0.562686375,0.852964251,-0.479031175,0.193192424,0.853422216,-0.39761137,0.92401499
ENSMUSG00000074277,Phldb3,0.169331108,-1.138952604,7.47E-06,0.241133491,-0.399931895,0.35604896,1.419251425,2.95754567,3.19E-25,0.187739321,-0.853213877,0.00834146,0.053766577,-2.554645524,3.23E-05
ENSMUSG00000044533,Rps2,6.470525989,-1.083156732,7.95E-06,22.16388518,1.472023216,1.34E-09,8.199353835,-0.484388833,0.560927216,9.194576818,-0.361650527,0.401084441,10.7963287,-0.051518875,1
ENSMUSG00000079523,Tmsb10,43.86195105,0.999096051,8.53E-06,18.47747058,-0.832917707,0.007765266,21.03079525,-0.542194293,0.470431923,25.65547907,-0.27555062,0.595327001,20.91519852,-0.540698664,0.576851391
ENSMUSG00000035697,Arhgap45,1.619761122,1.004313507,8.57E-06,0.541810177,-1.209226229,6.87E-05,1.444513182,0.449920326,0.478761785,0.757060263,-0.674449294,0.03516695,0.952157203,-0.215921019,1
ENSMUSG00000030654,Arl6ip1,1.271957104,-1.083440083,9.28E-06,1.099739783,-1.188422011,9.81E-05,2.329440176,0.096406018,1,4.665293055,1.781374772,6.70E-15,1.278666962,-0.826210521,0.238339464
ENSMUSG00000053398,Phgdh,0.400161611,-1.08905564,9.44E-06,1.21783927,1.17030771,5.03E-06,0.685129463,-0.015599988,1,0.627444571,-0.186037677,0.830554239,0.729270301,0.082336046,1
ENSMUSG00000026234,Ncl,0.800946527,-1.076917657,1.02E-05,2.61332122,1.356614165,4.24E-08,1.077834955,-0.384892835,0.738613485,1.384795453,0.01257928,1,0.75273208,-0.921607088,0.223199933
ENSMUSG00000029599,Ddx54,1.098886169,0.998528664,1.07E-05,0.500360219,-0.701322201,0.030894476,0.549634586,-0.475152369,0.673768795,0.666096784,-0.20928287,0.776683759,0.306958277,-1.341096716,0.034855891
ENSMUSG00000034868,Myl12b,2.41468237,0.984432793,1.31E-05,0.991838303,-0.882903334,0.004611477,1.348059201,-0.312217175,0.866747266,1.061628078,-0.792222586,0.009775314,2.269927131,0.511664401,0.447818439
ENSMUSG00000024097,Srsf7,0.931424975,-1.063042658,1.32E-05,2.37843812,0.805591034,0.003283603,0.811438247,-1.040993748,0.047797309,2.287746024,0.759600998,0.005323599,0.961932944,-0.768245282,0.285634957
ENSMUSG00000024399,Ltb,0.357569124,1.043552083,1.34E-05,0.03651544,-3.009341628,2.42E-17,1.000518669,2.665128125,1.11E-18,0.024411924,-3.654168229,3.72E-26,0.025416927,-3.278399045,8.26E-07
ENSMUSG00000032966,Fkbp1a,0.511317614,-1.06567761,1.38E-05,1.245801544,0.701838919,0.013599608,1.844873751,1.2603396,0.000383987,0.724511031,-0.349312917,0.43668788,0.724382431,-0.288389988,1
ENSMUSG00000037822,Smim14,1.885912224,0.979753149,1.48E-05,0.604643052,-1.291066521,1.96E-05,1.463650876,0.209339336,0.9559739,0.989554778,-0.484351458,0.184128757,1.240541571,-0.054679764,1
ENSMUSG00000046688,Tifa,4.065400958,0.977326802,1.49E-05,1.177376214,-1.455685931,1.28E-06,4.433821064,0.771895828,0.076426887,2.428695824,-0.249749187,0.665584373,0.451639248,-2.710515425,2.86E-06
ENSMUSG00000030357,Fkbp4,0.370242986,-1.05980904,1.67E-05,1.153690524,1.265781117,5.42E-07,0.447056544,-0.537620311,0.567463709,0.64807846,0.054684763,1,0.470213157,-0.450179641,0.842612514
ENSMUSG00000027808,Serp1,4.136042156,0.971730787,1.70E-05,1.618193238,-0.97092062,0.001617755,1.632828095,-0.85439086,0.130191183,2.109015866,-0.540356036,0.117670073,4.173263962,0.61894418,0.285634957
ENSMUSG00000031683,Lsm6,0.430288004,-1.053834129,1.78E-05,1.062895376,0.74486232,0.008002637,0.401126077,-0.929286247,0.12561673,1.020650919,0.692322545,0.01414704,0.591432349,-0.324528897,1
ENSMUSG00000032312,Csk,1.606048418,0.967517977,2.00E-05,0.728334993,-0.725952167,0.024061976,0.643026535,-0.834051906,0.194634067,0.942184021,-0.289177569,0.576214124,0.917942108,-0.27805244,1
ENSMUSG00000025794,Rpl14,3.675212222,-1.02355855,2.60E-05,11.27998128,1.277906699,2.77E-07,4.530275044,-0.476431067,0.575106061,5.676934811,-0.146583162,0.944407429,5.942673138,-0.049418564,1
ENSMUSG00000030536,Iqgap1,1.494061342,0.951005434,3.08E-05,0.53983637,-1.11264322,0.000278635,0.554993141,-0.956547018,0.110723612,1.043900371,0.030454348,1,0.830938011,-0.328410376,1
ENSMUSG00000030156,Cd69,1.62350095,0.952922091,3.39E-05,0.563522061,-1.17705857,0.000129424,2.387618767,1.28257133,0.000300455,0.619597882,-1.050527273,0.000395203,0.414491431,-1.498592522,0.015987871
ENSMUSG00000037972,Snn,1.953229131,0.943296549,3.44E-05,0.807287295,-0.895476084,0.004108846,2.084477686,0.71580925,0.117367412,0.906437989,-0.722506357,0.021573222,0.637378333,-1.139010051,0.089900236
ENSMUSG00000000861,Bcl11a,0.238725696,-1.036005657,3.98E-05,0.394103578,-0.031997688,1,0.462366699,0.229805398,0.844255331,0.185414375,-1.352352615,6.54E-06,1.832951494,2.685025465,2.33E-17
ENSMUSG00000021957,Tkt,0.762301636,-0.992012693,5.31E-05,2.166582774,1.134549999,9.09E-06,1.252370729,0.00290328,1,0.958458637,-0.49244964,0.174544731,1.797758826,0.576005283,0.34287632
ENSMUSG00000017774,Myo1c,1.011415744,0.926400568,5.40E-05,0.435553537,-0.836033103,0.008176584,0.878037424,0.363068326,0.656413821,0.566124143,-0.400086397,0.326964775,0.262967441,-1.482987178,0.016626929
ENSMUSG00000033685,Ucp2,7.548427566,-0.977570901,6.34E-05,12.97350818,0.102745602,0.971911579,17.73222222,0.598899623,0.236952995,18.08574829,0.809671784,0.002341936,5.972000362,-1.099872798,0.06817263
ENSMUSG00000032353,Tmed3,0.141490165,-1.026065039,6.37E-05,0.153628022,-0.758602689,0.027027861,0.170708235,-0.507340378,0.648880948,0.116537875,-1.246564206,4.46E-05,1.417482489,3.332204465,5.77E-29
ENSMUSG00000022051,Bnip3l,0.943475533,0.914931576,6.78E-05,0.311861596,-1.276487872,2.69E-05,1.006642731,0.699582817,0.133020192,0.401634274,-0.887224557,0.003266452,0.745889061,0.199659129,0.931528047
ENSMUSG00000022553,Maf1,1.237675346,0.909835951,7.11E-05,0.472068977,-1.046761085,0.000645119,1.118406867,0.419422364,0.530426528,0.667840493,-0.476404784,0.1965527,0.595342645,-0.570999932,0.646329816
ENSMUSG00000030695,Aldoa,1.093899731,0.912900862,7.20E-05,0.794457546,0.077614521,1,0.87267887,0.217833017,0.942405668,0.205176409,-2.210040444,4.16E-14,0.83778103,0.148377045,1
ENSMUSG00000073411,H2-D1,11.02480559,0.902776116,7.45E-05,3.914060408,-1.168718518,0.000111718,9.224368753,0.288609803,0.792203372,5.899548309,-0.496078089,0.166555606,7.524388081,-0.038712664,1
ENSMUSG00000019461,Plscr3,0.261995738,-0.985373662,7.98E-05,0.473713816,0.19092823,0.733082456,1.259260299,1.888409936,2.63E-09,0.38506904,-0.200840359,0.808042369,0.158367009,-1.499564182,0.01642694
ENSMUSG00000057278,Snrpg,0.783909532,-0.967699209,8.34E-05,1.971175825,0.885697557,0.000971883,0.885692502,-0.563540517,0.441434314,1.607118333,0.477592321,0.143258417,0.810408954,-0.687746037,0.470037395
ENSMUSG00000028525,Pde4b,1.380412121,0.896358091,9.89E-05,0.460555099,-1.272172954,2.86E-05,1.97960312,1.202428417,0.000846237,0.653018968,-0.716825073,0.02327979,0.293272239,-1.797651777,0.002551154
ENSMUSG00000032412,Atp1b3,0.575933534,-0.944855599,0.000139739,1.104016367,0.347128517,0.343542373,1.737702661,1.058733988,0.005401744,1.07383404,0.305662809,0.4831007,0.43795321,-1.130082748,0.094890056
ENSMUSG00000037266,Rsrp1,1.57176666,0.876447697,0.000142199,0.626683903,-0.992852989,0.001286204,1.160509795,0.072586718,1,0.834074071,-0.526856194,0.13380784,1.222945237,0.153040997,1
ENSMUSG00000052833,Sae1,0.468725127,-0.939038665,0.000152335,1.096121136,0.761374321,0.006412056,0.509062674,-0.599951469,0.471935581,1.038669244,0.679926478,0.016536879,0.340195797,-1.194249435,0.069905645
ENSMUSG00000041538,H2-Ob,0.622681386,0.879291752,0.00016719,0.182906168,-1.484215182,2.29E-06,1.064821322,1.515030889,6.89E-06,0.285677635,-0.779445622,0.012838501,0.050833855,-3.184059796,2.03E-07
ENSMUSG00000026238,Ptma,20.42507139,-0.922026784,0.000173087,40.28541247,0.428261205,0.189254562,17.90293046,-0.916160938,0.093998506,52.70011287,1.056786212,2.22E-05,13.43284612,-1.331122023,0.01984593
ENSMUSG00000035929,H2-Q4,1.910221107,0.863763523,0.00018438,0.557600638,-1.50430184,6.28E-07,1.742295708,0.408294929,0.553077664,1.381889271,0.039900733,1,0.509316122,-1.480108044,0.016021015
ENSMUSG00000029632,Ndufa4,1.25720556,-0.920512404,0.000184655,2.951829218,0.791696662,0.003895964,2.004864877,0.016927313,1,2.260137301,0.258248716,0.595327001,1.560208312,-0.371235084,0.860064266
ENSMUSG00000057236,Rbbp4,1.078524882,-0.918851604,0.000196108,2.046180512,0.354432818,0.324561948,1.126061945,-0.64486291,0.336994965,2.753025672,1.034441943,3.94E-05,0.783036878,-1.179566552,0.072861858
ENSMUSG00000064373,Selenop,1.245986076,0.86390044,0.000202322,0.260871567,-2.023452948,9.67E-11,2.640236334,1.921670199,7.68E-10,0.28480578,-1.928632481,1.70E-11,0.790857471,-0.170657476,1
ENSMUSG00000022971,Ifnar2,0.214209045,-0.934900103,0.000233667,0.161852221,-1.274059021,6.70E-05,0.312327174,-0.135797036,1,0.271437346,-0.422716599,0.301105287,1.736171655,2.931754553,1.60E-21
ENSMUSG00000052565,Hist1h1d,0.327650499,-0.943894047,0.000235603,0.437198376,-0.32622851,0.47377981,0.318451237,-0.773646255,0.287282398,1.076158985,1.675761897,2.58E-12,0.104600432,-2.402250878,8.38E-05
ENSMUSG00000008475,Arpc5,2.548277342,0.846986673,0.000238251,1.092173521,-0.890280148,0.004197869,2.125815106,0.252700788,0.865907893,1.408335522,-0.472718068,0.199261385,1.502531438,-0.294207473,0.978207855
ENSMUSG00000040747,Cd53,0.937034718,0.852046267,0.000242997,0.328967928,-1.214234584,6.87E-05,1.025780426,0.70628177,0.127760811,0.36937566,-1.053891568,0.000339638,0.940426313,0.545122157,0.396378545
ENSMUSG00000044408,Sptssa,0.394967405,-0.913683309,0.000243589,0.780311925,0.440373499,0.18040473,0.234245381,-1.494968969,0.003961538,0.807046584,0.532534143,0.088805235,1.077286692,0.883664681,0.059766537
ENSMUSG00000004880,Lbr,0.751913225,-0.908057502,0.000247654,1.012234315,-0.276276638,0.558872321,0.754790671,-0.696051055,0.276541578,2.203466763,1.405293128,3.23E-09,0.769350841,-0.654538668,0.52103231
ENSMUSG00000018770,Atp5g3,1.953229131,-0.898624181,0.000263911,4.895042769,0.961329527,0.000247374,2.285040724,-0.452408468,0.618356923,3.387735697,0.209684544,0.7245124,2.500634625,-0.305658442,0.959238348
ENSMUSG00000017760,Ctsa,0.869925579,0.847463358,0.000271569,0.272714412,-1.398836282,6.73E-06,0.603985639,-0.040991617,1,0.340313846,-1.069286598,0.000275597,1.437033972,1.375539894,0.000372706
ENSMUSG00000070000,Fcho1,0.517135125,-0.902652342,0.000282524,0.694451296,-0.2754785,0.562393142,1.266149869,0.737145048,0.103670687,1.283079103,0.98647266,0.000115884,0.33139763,-1.350532138,0.032608584
ENSMUSG00000040247,Tbc1d10c,0.363594403,-0.908330307,0.000302794,0.463844779,-0.371781373,0.364690747,2.358529471,2.632177271,9.52E-20,0.299917924,-1.139522836,0.000112726,0.479988898,-0.264669224,1
ENSMUSG00000015340,Cybb,0.116142441,-0.985925649,0.000304191,0.018093236,-3.700453123,4.92E-22,0.009186093,-4.394985619,7.99E-12,0.021505743,-3.502637619,1.28E-23,1.845659958,5.051485834,1.09E-72
ENSMUSG00000059791,Nrm,0.41906852,-0.902659893,0.000304624,0.698069943,0.119962389,0.928578477,0.223528272,-1.644336505,0.001346724,1.206937149,1.365700809,1.36E-08,0.329442482,-1.045373501,0.14049259
ENSMUSG00000022500,Litaf,1.183032302,0.836771305,0.00032274,0.389169059,-1.328078785,1.22E-05,0.927029922,0.146209921,1,0.562636725,-0.743422111,0.017604906,1.471249066,0.88654092,0.056848134
ENSMUSG00000067212,H2-T23,0.969862098,0.834842122,0.000343885,0.225014063,-1.879830468,1.48E-09,0.74483907,0.112960484,1,0.401053038,-0.983577036,0.000933561,1.71368745,1.486016043,7.45E-05
ENSMUSG00000062683,Atp5g2,2.16702264,-0.879852889,0.000360326,4.781877802,0.705644624,0.012011172,2.967108157,-0.190498819,1,3.806516441,0.255502283,0.595327001,3.539795926,0.087846673,1
ENSMUSG00000026581,Sell,0.37564496,-0.902691655,0.000360604,0.437856312,-0.524050881,0.142077518,0.422560295,-0.515062746,0.623730133,0.347288681,-0.943067324,0.001990749,3.041233119,2.970242437,1.65E-22
ENSMUSG00000026655,Fam107b,1.945957243,0.82508255,0.000374176,1.023090256,-0.557174871,0.102470505,0.867320315,-0.745221307,0.220383719,1.329868624,-0.095405211,1,0.83778103,-0.784357319,0.353420902
ENSMUSG00000034595,Ppp1r18,0.453973583,-0.8862014,0.000383496,0.680305675,-0.060870654,1,1.697130749,1.505017149,7.11E-06,0.664062457,-0.1091962,1,0.805521083,0.213543551,0.90476392
ENSMUSG00000104413,Gm37065,0.953863944,0.829337805,0.000383899,0.405288487,-0.914395797,0.003498769,1.007408239,0.632405428,0.203834589,0.621050972,-0.183639122,0.836341525,0.043013262,-4.066240048,1.05E-10
ENSMUSG00000020485,Supt4a,1.415940488,0.823766758,0.000389122,0.746757197,-0.552461576,0.106747393,1.204143738,0.271074015,0.835318608,0.721895468,-0.630169645,0.054150735,0.703853374,-0.566802069,0.651451254
ENSMUSG00000059005,Hnrnpa3,2.950308867,-0.875548154,0.00039087,5.430273588,0.340501498,0.349811647,2.496320872,-0.931660454,0.086999004,7.202680064,0.982817792,0.000106102,3.063717324,-0.60677569,0.477484416
ENSMUSG00000019998,Stx7,0.581543276,0.829411009,0.000406858,0.159549445,-1.619535651,2.16E-07,0.292423972,-0.554796758,0.544674406,0.271727964,-0.777853125,0.01264703,1.056757635,1.532788997,4.00E-05
ENSMUSG00000003161,Sri,1.229780154,0.818709139,0.000437578,0.551021279,-0.832292213,0.008262718,0.904830196,0.034894907,1,0.671909147,-0.510750578,0.152265823,0.951179629,0.112285794,1
ENSMUSG00000024516,Sec11c,2.452496188,0.81549532,0.000441763,0.878344368,-1.203507533,7.15E-05,0.897940626,-1.05029571,0.044362692,1.907908111,0.149299675,0.88677068,1.826108475,0.050283705,1
ENSMUSG00000021998,Lcp1,0.417406374,-0.882247197,0.000442992,0.848408286,0.531938262,0.086265688,0.701205127,0.133948411,1,0.476323137,-0.559562813,0.10748961,1.609087018,1.504457956,6.45E-05
